,,,,,silhouette,silhouette,ics_score,ics_score,n_clusters,n_clusters,stability,hierarchical_score,hierarchical_score,external_ARI_broad,external_ARI_broad,external_NMI_broad,external_NMI_broad,external_ARI_fine,external_ARI_fine,external_NMI_fine,external_NMI_fine,external_ARI_who,external_ARI_who,external_NMI_who,external_NMI_who
,,,,,mean,std,mean,std,mean,std,mean,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
genus,material,metric,tau,gamma,,,,,,,,,,,,,,,,,,,,,
Escherichia,Blood Culture,jaccard,0.2,0.75,0.2819489057701464,0.012275557431916564,3.766982484269815,0.3317383376176582,14.4,1.2649110640673518,0.9609260389355085,0.428095051620471,0.017919690433699,0.16515274599554614,0.005636669926869047,0.4764082257392122,0.01827442758390344,0.060724523645155806,0.00992708399196931,0.5593109050601643,0.028259136869589765,0.0436487721035019,0.0013016416444879128,0.20482740624880552,0.003779024702306864
Escherichia,Blood Culture,jaccard,0.2,1.0,0.3149610763733648,0.0,4.2809347204420405,0.0,15.0,0.0,1.0,0.4303044359493958,0.0,0.08397838599968582,0.0,0.47330084088007424,0.0,0.04871626338543942,0.0,0.5685619670179949,0.0,0.04028120451331179,0.0,0.20296465626058535,0.0
Escherichia,Blood Culture,jaccard,0.30000000000000004,0.5,0.2587421089374834,0.10990547346355048,4.831718313790202,0.3582805537726167,21.5,1.9578900207451215,0.8847748503367814,0.49667165684158177,0.008762126280272384,0.179250461060863,0.03473955382139468,0.5491175964417371,0.006433659103510307,0.07377245508095051,0.009515285418013284,0.6496604304637578,0.011214434913792969,0.054945708869811274,0.006433858669618011,0.24024068574519175,0.012458176142173639
Escherichia,Blood Culture,jaccard,0.30000000000000004,0.75,0.3054258822413152,0.0006011090716259962,4.710274282466115,0.08072545425290459,20.1,0.31622776601683755,0.9904512133833204,0.4888588625704446,0.00035981354325826184,0.1794181701661822,0.00954852363037599,0.5432501624060867,0.002108747165858062,0.07689342563489007,0.0014992476851952896,0.6389325430006707,0.0027939504078981383,0.0616957503300536,0.004531565135172562,0.2343693221611677,0.00041714156714519734
Escherichia,Blood Culture,jaccard,0.30000000000000004,1.0,0.30380094105271094,0.0,4.777573635551559,0.0,20.0,0.0,1.0,0.48704043472039504,5.233641528945917e-17,0.1550223446268967,0.0,0.5379336940308876,6.409875621278546e-17,0.07188440386012244,0.0,0.6322774295855911,1.0467283057891834e-16,0.07702028048805751,0.0,0.2424978489229744,2.7755575615628914e-17
Escherichia,Blood Culture,jaccard,0.4,0.5,0.2489052503441962,0.09854357890530925,5.722520679748348,0.3619113728316071,27.9,1.286683937707919,0.865555812553277,0.5234591349743114,0.007189617778294732,0.12315838124801115,0.026699570709070666,0.5536654828538408,0.00884876384818391,0.05462529342344051,0.011649692635386717,0.6871991086413602,0.006658826993714055,0.03071922869735676,0.016321592584809193,0.27493282220538334,0.010840196957517709
Escherichia,Blood Culture,jaccard,0.4,0.75,0.27876871479316145,0.005799478489606654,5.620710365509085,0.23639272786879154,27.0,0.6666666666666666,0.9375068329134795,0.5167921842143783,0.0009667547320033903,0.1353951957777604,0.01751231458151349,0.5474832185123668,0.00418521829196951,0.05398779151884937,0.008012423465817313,0.6806082010974747,0.0021703971658414145,0.01939984618233028,0.007856493323548564,0.26767979407226133,0.0024873787713662206
Escherichia,Blood Culture,jaccard,0.4,1.0,0.30218512972156875,0.0,6.112574944215865,0.0,27.0,0.0,1.0,0.5093017313837969,0.0,0.08779862806843851,0.0,0.5342380923376758,0.0,0.03160376540748574,0.0,0.6681820196881656,0.0,0.028727842049406843,0.0,0.272524986024093,0.0
Escherichia,Blood Culture,phi,0.1,0.5,0.09700293698911072,0.0338109000369566,4.69116258575065,0.42333237278651803,11.1,1.2866839377079182,0.7256062173785491,0.3554433094711574,0.020903477463715375,0.022165562877211126,0.02021603851032082,0.38524392022979265,0.025504542290714464,0.005337507401418662,0.008611370775732204,0.48655116667064585,0.02046956402910572,0.010031519106994399,0.008704232958548368,0.15083222244653735,0.022385053294588387
Escherichia,Blood Culture,phi,0.1,0.75,0.1320980873029802,0.017549175875919823,4.90343547256875,0.284445188550717,10.8,1.2292725943057186,0.8244222613529286,0.35856623080851635,0.01711595686991842,0.04215050473197246,0.030905159061706922,0.403966804286747,0.03025044493054217,0.020720200443998475,0.00747597710378244,0.4998799046532472,0.014612403007086588,0.0009276253486730814,0.005500564962240147,0.12474742553731108,0.014536845397239444
Escherichia,Blood Culture,phi,0.1,1.0,0.11036928607024377,0.004904531602098623,4.473389697356073,0.19558183438452176,7.7,0.4830458915396479,0.8792023264212887,0.30319970601665636,0.008212867298177596,0.03210055500125963,0.008090234948433117,0.33894503070906096,0.001206196323544431,0.014127890451937608,0.005393316168619287,0.43131592531280666,0.014509385395733843,-0.00013959646202937455,0.004945241576280002,0.09663275559605151,0.0094811512964565
Escherichia,Blood Culture,phi,0.2,0.5,0.1601737305271815,0.01899615072704493,6.377740446532184,0.45602282995336485,15.2,1.0327955589886446,0.8115935032639239,0.4145478867377923,0.02194299511312964,0.022203883698433367,0.026378192622106954,0.4482933686755347,0.03111246815740349,0.019182925491059623,0.01444053618068228,0.5752961162115207,0.02479327348131144,0.007080977255703622,0.009419804608907423,0.1664714321684121,0.015490729109662791
Escherichia,Blood Culture,phi,0.2,0.75,0.18453330534974133,0.007471799477431003,7.097161957454121,0.12680980427972188,15.7,0.4830458915396481,0.9458862391851797,0.42221956328459376,0.008815061197451901,0.01942066404535059,0.011225387107396824,0.4577314674908714,0.017676007535406785,0.0203981889252925,0.0024890465257068773,0.5896843563994613,0.008695729988721939,0.009184832862210546,0.003283604529607683,0.1634212682584927,0.003797384766613042
Escherichia,Blood Culture,phi,0.2,1.0,0.10667315284631887,0.0,4.7742000090135415,0.0,10.0,0.0,1.0,0.3143202391851072,1.850371707708594e-17,-0.0001802735651350925,0.0,0.3346891155085797,6.671610070811202e-17,-0.0025630983632619984,0.0,0.4506829923056409,5.851389114294502e-17,-0.0059686133264728585,0.0,0.112134358700923,0.0
